tiempo,variable_filtrada
0.00,-38.65
0.00,-36.49
0.00,-34.37
0.00,-32.25
0.00,-30.05
0.01,-27.65
0.01,-25.01
0.01,-22.25
0.01,-19.66
0.01,-17.71
0.01,-16.80
0.01,-17.17
0.01,-18.74
0.01,-21.13
0.01,-23.73
0.01,-25.95
0.02,-27.36
0.02,-27.80
0.02,-27.38
0.02,-26.39
0.02,-25.11
0.02,-23.75
0.02,-22.38
0.02,-20.92
0.02,-19.26
0.03,-17.36
0.03,-15.30
0.03,-13.27
0.03,-11.52
0.03,-10.23
0.03,-9.47
0.03,-9.10
0.03,-8.89
0.03,-8.56
0.03,-7.89
0.04,-6.84
0.04,-5.48
0.04,-3.95
0.04,-2.40
0.04,-0.85
0.04,0.77
0.04,2.61
0.04,4.78
0.04,7.30
0.04,10.04
0.04,12.70
0.05,14.97
0.05,16.57
0.05,17.37
0.05,17.42
0.05,16.93
0.05,16.21
0.05,15.60
0.05,15.40
0.05,15.81
0.06,16.88
0.06,18.53
0.06,20.50
0.06,22.49
0.06,24.14
0.06,25.17
0.06,25.44
0.06,24.97
0.06,23.97
0.06,22.75
0.07,21.68
0.07,21.06
0.07,21.06
0.07,21.72
0.07,22.95
0.07,24.55
0.07,26.32
0.07,28.08
0.07,29.69
0.07,31.05
0.07,32.07
0.08,32.66
0.08,32.78
0.08,32.46
0.08,31.78
0.08,30.86
0.08,29.86
0.08,28.88
0.08,28.04
0.08,27.41
0.09,27.03
0.09,26.95
0.09,27.24
0.09,27.91
0.09,28.98
0.09,30.42
0.09,32.11
0.09,33.92
0.09,35.69
0.09,37.31
0.10,38.76
0.10,40.12
0.10,41.53
0.10,43.13
0.10,45.02
0.10,47.17
0.10,49.46
0.10,51.72
0.10,53.76
0.10,55.52
0.10,57.02
0.11,58.36
0.11,59.63
0.11,60.89
0.11,62.13
0.11,63.26
0.11,64.19
0.11,64.84
0.11,65.23
0.11,65.40
0.12,65.42
0.12,65.35
0.12,65.19
0.12,64.92
0.12,64.51
0.12,63.99
0.12,63.43
0.12,63.00
0.12,62.85
0.12,63.11
0.12,63.86
0.13,65.11
0.13,66.82
0.13,68.91
0.13,71.30
0.13,73.88
0.13,76.51
0.13,79.00
0.13,81.15
0.13,82.76
0.14,83.71
0.14,83.99
0.14,83.75
0.14,83.23
0.14,82.73
0.14,82.50
0.14,82.65
0.14,83.17
0.14,83.89
0.14,84.59
0.14,85.12
0.15,85.46
0.15,85.71
0.15,86.12
0.15,86.92
0.15,88.27
0.15,90.15
0.15,92.32
0.15,94.42
0.15,96.01
0.15,96.72
0.16,96.36
0.16,94.89
0.16,92.47
0.16,89.34
0.16,85.79
0.16,82.08
0.16,78.43
0.16,74.94
0.16,71.67
0.17,68.53
0.17,65.36
0.17,61.95
0.17,58.09
0.17,53.70
0.17,48.83
0.17,43.78
0.17,38.93
0.17,34.69
0.17,31.36
0.17,29.01
0.18,27.53
0.18,26.65
0.18,26.04
0.18,25.38
0.18,24.43
0.18,23.02
0.18,21.04
0.18,18.47
0.18,15.34
0.18,11.77
0.19,7.96
0.19,4.21
0.19,0.79
0.19,-2.03
0.19,-4.14
0.19,-5.53
0.19,-6.30
0.19,-6.62
0.19,-6.66
0.20,-6.57
0.20,-6.45
0.20,-6.38
0.20,-6.40
0.20,-6.54
0.20,-6.77
0.20,-7.06
0.20,-7.36
0.20,-7.56
0.20,-7.56
0.20,-7.27
0.21,-6.64
0.21,-5.69
0.21,-4.56
0.21,-3.46
0.21,-2.59
0.21,-2.11
0.21,-2.07
0.21,-2.40
0.21,-2.98
0.21,-3.63
0.22,-4.21
0.22,-4.64
0.22,-4.88
0.22,-4.95
0.22,-4.90
0.22,-4.73
0.22,-4.47
0.22,-4.07
0.22,-3.53
0.23,-2.85
0.23,-2.11
0.23,-1.44
0.23,-1.03
0.23,-1.09
0.23,-1.82
0.23,-3.40
0.23,-5.99
0.23,-9.63
0.23,-14.28
0.23,-19.71
0.24,-25.51
0.24,-31.12
0.24,-35.92
0.24,-39.40
0.24,-41.28
0.24,-41.55
0.24,-40.48
0.24,-38.47
0.24,-35.83
0.24,-32.68
0.25,-28.89
0.25,-24.10
0.25,-17.85
0.25,-9.77
0.25,0.39
0.25,12.66
0.25,26.98
0.25,43.28
0.25,61.61
0.26,82.12
0.26,105.00
0.26,130.33
0.26,157.92
0.26,187.29
0.26,217.71
0.26,248.39
0.26,278.72
0.26,308.42
0.26,337.59
0.27,366.54
0.27,395.55
0.27,424.56
0.27,452.90
0.27,479.31
0.27,502.04
0.27,519.23
0.27,529.24
0.27,530.88
0.27,523.57
0.28,507.32
0.28,482.69
0.28,450.79
0.28,413.21
0.28,372.06
0.28,329.74
0.28,288.71
0.28,251.11
0.28,218.34
0.28,190.94
0.28,168.56
0.29,150.20
0.29,134.58
0.29,120.47
0.29,106.91
0.29,93.35
0.29,79.57
0.29,65.58
0.29,51.60
0.29,37.93
0.29,24.90
0.30,12.89
0.30,2.25
0.30,-6.78
0.30,-14.06
0.30,-19.66
0.30,-23.80
0.30,-26.86
0.30,-29.25
0.30,-31.41
0.30,-33.63
0.31,-36.09
0.31,-38.76
0.31,-41.50
0.31,-44.05
0.31,-46.16
0.31,-47.64
0.31,-48.41
0.31,-48.57
0.31,-48.33
0.32,-47.99
0.32,-47.82
0.32,-48.04
0.32,-48.71
0.32,-49.72
0.32,-50.84
0.32,-51.80
0.32,-52.34
0.32,-52.31
0.32,-51.69
0.33,-50.54
0.33,-49.01
0.33,-47.24
0.33,-45.41
0.33,-43.63
0.33,-42.02
0.33,-40.65
0.33,-39.60
0.33,-38.93
0.33,-38.68
0.34,-38.84
0.34,-39.35
0.34,-40.06
0.34,-40.75
0.34,-41.23
0.34,-41.33
0.34,-41.00
0.34,-40.33
0.34,-39.51
0.34,-38.72
0.34,-38.12
0.35,-37.73
0.35,-37.43
0.35,-37.03
0.35,-36.35
0.35,-35.30
0.35,-33.94
0.35,-32.45
0.35,-31.03
0.35,-29.85
0.35,-28.95
0.36,-28.22
0.36,-27.42
0.36,-26.30
0.36,-24.66
0.36,-22.38
0.36,-19.52
0.36,-16.26
0.36,-12.86
0.36,-9.69
0.36,-7.06
0.37,-5.24
0.37,-4.35
0.37,-4.34
0.37,-4.99
0.37,-5.98
0.37,-6.90
0.37,-7.36
0.37,-7.04
0.37,-5.79
0.38,-3.65
0.38,-0.85
0.38,2.27
0.38,5.27
0.38,7.77
0.38,9.45
0.38,10.13
0.38,9.78
0.38,8.53
0.38,6.65
0.39,4.49
0.39,2.46
0.39,0.94
0.39,0.19
0.39,0.37
0.39,1.48
0.39,3.39
0.39,5.84
0.39,8.55
0.39,11.24
0.40,13.71
0.40,15.88
0.40,17.77
0.40,19.43
0.40,20.94
0.40,22.33
0.40,23.56
0.40,24.62
0.40,25.52
0.40,26.37
0.41,27.32
0.41,28.57
0.41,30.24
0.41,32.33
0.41,34.71
0.41,37.15
0.41,39.39
0.41,41.26
0.41,42.69
0.41,43.76
0.41,44.62
0.42,45.46
0.42,46.42
0.42,47.61
0.42,49.06
0.42,50.78
0.42,52.74
0.42,54.96
0.42,57.40
0.42,60.03
0.42,62.75
0.43,65.46
0.43,68.07
0.43,70.51
0.43,72.75
0.43,74.80
0.43,76.70
0.43,78.48
0.43,80.14
0.43,81.66
0.43,83.01
0.44,84.23
0.44,85.40
0.44,86.65
0.44,88.15
0.44,90.03
0.44,92.37
0.44,95.12
0.44,98.18
0.44,101.38
0.45,104.55
0.45,107.55
0.45,110.28
0.45,112.68
0.45,114.73
0.45,116.43
0.45,117.85
0.45,119.04
0.45,120.09
0.45,121.06
0.46,122.00
0.46,122.92
0.46,123.81
0.46,124.63
0.46,125.31
0.46,125.82
0.46,126.15
0.46,126.35
0.46,126.50
0.46,126.72
0.47,127.06
0.47,127.54
0.47,128.09
0.47,128.58
0.47,128.87
0.47,128.88
0.47,128.61
0.47,128.14
0.47,127.59
0.47,127.08
0.47,126.62
0.48,126.19
0.48,125.68
0.48,125.01
0.48,124.15
0.48,123.10
0.48,121.89
0.48,120.54
0.48,118.99
0.48,117.11
0.48,114.76
0.49,111.78
0.49,108.12
0.49,103.85
0.49,99.13
0.49,94.18
0.49,89.22
0.49,84.38
0.49,79.68
0.49,75.06
0.49,70.45
0.50,65.78
0.50,61.02
0.50,56.15
0.50,51.17
0.50,46.05
0.50,40.77
0.50,35.31
0.50,29.71
0.50,24.06
0.51,18.49
0.51,13.12
0.51,8.05
0.51,3.24
0.51,-1.44
0.51,-6.17
0.51,-11.15
0.51,-16.48
0.51,-22.17
0.51,-28.13
0.52,-34.18
0.52,-40.15
0.52,-45.93
0.52,-51.44
0.52,-56.69
0.52,-61.67
0.52,-66.36
0.52,-70.73
0.52,-74.74
0.52,-78.36
0.53,-81.66
0.53,-84.71
0.53,-87.64
0.53,-90.55
0.53,-93.49
0.53,-96.43
0.53,-99.30
0.53,-101.97
0.53,-104.31
0.53,-106.26
0.54,-107.80
0.54,-108.96
0.54,-109.78
0.54,-110.33
0.54,-110.64
0.54,-110.78
0.54,-110.80
0.54,-110.82
0.54,-110.92
0.54,-111.15
0.55,-111.53
0.55,-112.01
0.55,-112.51
0.55,-113.00
0.55,-113.45
0.55,-113.92
0.55,-114.43
0.55,-114.98
0.55,-115.48
0.55,-115.73
0.56,-115.52
0.56,-114.67
0.56,-113.09
0.56,-110.82
0.56,-108.00
0.56,-104.81
0.56,-101.39
0.56,-97.89
0.56,-94.44
0.56,-91.24
0.56,-88.55
0.57,-86.68
0.57,-85.89
0.57,-86.28
0.57,-87.72
0.57,-89.88
0.57,-92.27
0.57,-94.38
0.57,-95.82
0.57,-96.39
0.57,-96.13
0.58,-95.26
0.58,-94.04
0.58,-92.72
0.58,-91.42
0.58,-90.19
0.58,-89.01
0.58,-87.85
0.58,-86.72
0.58,-85.67
0.58,-84.75
0.59,-83.98
0.59,-83.32
0.59,-82.64
0.59,-81.75
0.59,-80.45
0.59,-78.62
0.59,-76.19
0.59,-73.25
0.59,-70.00
0.59,-66.73
0.60,-63.76
0.60,-61.37
0.60,-59.72
0.60,-58.84
0.60,-58.60
0.60,-58.81
0.60,-59.22
0.60,-59.60
0.60,-59.78
0.60,-59.63
0.61,-59.10
0.61,-58.19
0.61,-56.97
0.61,-55.55
0.61,-54.02
0.61,-52.49
0.61,-50.99
0.61,-49.53
0.61,-48.06
0.61,-46.57
0.62,-45.07
0.62,-43.59
0.62,-42.19
0.62,-40.92
0.62,-39.80
0.62,-38.81
0.62,-37.89
0.62,-36.97
0.62,-36.02
0.62,-35.07
0.63,-34.18
0.63,-33.40
0.63,-32.78
0.63,-32.28
0.63,-31.83
0.63,-31.32
0.63,-30.66
0.63,-29.84
0.63,-28.94
0.64,-28.08
0.64,-27.37
0.64,-26.84
0.64,-26.45
0.64,-26.09
0.64,-25.65
0.64,-25.07
0.64,-24.38
0.64,-23.68
0.64,-23.07
0.65,-22.64
0.65,-22.39
0.65,-22.24
0.65,-22.12
0.65,-21.94
0.65,-21.69
0.65,-21.38
0.65,-21.06
