tiempo,variable_filtrada
0.00,40.58
0.00,42.67
0.00,44.73
0.00,46.73
0.00,48.72
0.01,50.74
0.01,52.90
0.01,55.27
0.01,57.91
0.01,60.82
0.01,63.97
0.01,67.27
0.01,70.63
0.01,73.96
0.01,77.16
0.01,80.25
0.02,83.27
0.02,86.35
0.02,89.66
0.02,93.32
0.02,97.40
0.02,101.86
0.02,106.60
0.02,111.47
0.02,116.33
0.03,121.11
0.03,125.81
0.03,130.46
0.03,135.07
0.03,139.63
0.03,144.04
0.03,148.16
0.03,151.84
0.03,154.98
0.03,157.53
0.04,159.54
0.04,161.11
0.04,162.38
0.04,163.47
0.04,164.47
0.04,165.43
0.04,166.34
0.04,167.17
0.04,167.86
0.04,168.37
0.04,168.64
0.05,168.66
0.05,168.41
0.05,167.94
0.05,167.30
0.05,166.58
0.05,165.86
0.05,165.18
0.05,164.56
0.05,163.94
0.06,163.23
0.06,162.33
0.06,161.13
0.06,159.55
0.06,157.56
0.06,155.16
0.06,152.38
0.06,149.29
0.06,145.97
0.06,142.48
0.07,138.87
0.07,135.14
0.07,131.29
0.07,127.30
0.07,123.17
0.07,118.90
0.07,114.53
0.07,110.09
0.07,105.60
0.07,101.07
0.07,96.50
0.08,91.91
0.08,87.30
0.08,82.70
0.08,78.13
0.08,73.63
0.08,69.24
0.08,64.97
0.08,60.83
0.08,56.80
0.09,52.84
0.09,48.87
0.09,44.87
0.09,40.82
0.09,36.79
0.09,32.86
0.09,29.17
0.09,25.81
0.09,22.87
0.09,20.34
0.10,18.15
0.10,16.16
0.10,14.20
0.10,12.15
0.10,9.91
0.10,7.43
0.10,4.70
0.10,1.70
0.10,-1.52
0.10,-4.88
0.10,-8.27
0.11,-11.51
0.11,-14.39
0.11,-16.78
0.11,-18.63
0.11,-19.99
0.11,-20.99
0.11,-21.78
0.11,-22.50
0.11,-23.26
0.12,-24.10
0.12,-25.10
0.12,-26.28
0.12,-27.68
0.12,-29.27
0.12,-31.00
0.12,-32.78
0.12,-34.47
0.12,-35.94
0.12,-37.09
0.12,-37.86
0.13,-38.27
0.13,-38.39
0.13,-38.32
0.13,-38.20
0.13,-38.14
0.13,-38.24
0.13,-38.55
0.13,-39.07
0.13,-39.75
0.14,-40.51
0.14,-41.23
0.14,-41.80
0.14,-42.15
0.14,-42.24
0.14,-42.11
0.14,-41.81
0.14,-41.41
0.14,-40.95
0.14,-40.46
0.14,-39.92
0.15,-39.33
0.15,-38.70
0.15,-38.10
0.15,-37.62
0.15,-37.35
0.15,-37.33
0.15,-37.56
0.15,-37.95
0.15,-38.35
0.15,-38.58
0.16,-38.50
0.16,-38.02
0.16,-37.15
0.16,-35.94
0.16,-34.50
0.16,-32.90
0.16,-31.22
0.16,-29.49
0.16,-27.71
0.17,-25.90
0.17,-24.12
0.17,-22.45
0.17,-20.95
0.17,-19.67
0.17,-18.57
0.17,-17.57
0.17,-16.53
0.17,-15.31
0.17,-13.84
0.17,-12.11
0.18,-10.17
0.18,-8.17
0.18,-6.26
0.18,-4.61
0.18,-3.32
0.18,-2.47
0.18,-2.07
0.18,-2.07
0.18,-2.37
0.18,-2.82
0.19,-3.21
0.19,-3.34
0.19,-2.98
0.19,-1.97
0.19,-0.17
0.19,2.47
0.19,5.95
0.19,10.16
0.19,14.94
0.20,19.98
0.20,24.95
0.20,29.45
0.20,33.18
0.20,35.93
0.20,37.62
0.20,38.35
0.20,38.32
0.20,37.80
0.20,37.05
0.20,36.30
0.21,35.68
0.21,35.25
0.21,34.97
0.21,34.78
0.21,34.57
0.21,34.28
0.21,33.88
0.21,33.40
0.21,32.89
0.21,32.44
0.22,32.10
0.22,31.89
0.22,31.77
0.22,31.61
0.22,31.26
0.22,30.51
0.22,29.21
0.22,27.29
0.22,24.78
0.23,21.85
0.23,18.72
0.23,15.61
0.23,12.69
0.23,10.02
0.23,7.54
0.23,5.13
0.23,2.63
0.23,-0.10
0.23,-3.15
0.23,-6.53
0.24,-10.23
0.24,-14.22
0.24,-18.46
0.24,-22.90
0.24,-27.51
0.24,-32.23
0.24,-36.98
0.24,-41.65
0.24,-46.14
0.24,-50.41
0.25,-54.41
0.25,-58.19
0.25,-61.81
0.25,-65.37
0.25,-68.94
0.25,-72.60
0.25,-76.34
0.25,-80.13
0.25,-83.84
0.26,-87.31
0.26,-90.36
0.26,-92.79
0.26,-94.49
0.26,-95.42
0.26,-95.65
0.26,-95.38
0.26,-94.83
0.26,-94.24
0.26,-93.79
0.27,-93.54
0.27,-93.49
0.27,-93.56
0.27,-93.67
0.27,-93.75
0.27,-93.76
0.27,-93.66
0.27,-93.42
0.27,-92.97
0.27,-92.21
0.28,-91.10
0.28,-89.63
0.28,-87.90
0.28,-86.05
0.28,-84.25
0.28,-82.66
0.28,-81.39
0.28,-80.51
0.28,-79.99
0.28,-79.78
0.28,-79.78
0.29,-79.89
0.29,-80.00
0.29,-80.00
0.29,-79.84
0.29,-79.47
0.29,-78.99
0.29,-78.57
0.29,-78.48
0.29,-79.11
0.29,-80.83
0.30,-83.96
0.30,-88.67
0.30,-94.87
0.30,-102.24
0.30,-110.23
0.30,-118.20
0.30,-125.53
0.30,-131.82
0.30,-136.93
0.30,-140.97
0.31,-144.19
0.31,-146.85
0.31,-149.02
0.31,-150.54
0.31,-151.03
0.31,-150.00
0.31,-147.01
0.31,-141.76
0.31,-134.22
0.32,-124.55
0.32,-113.06
0.32,-100.01
0.32,-85.49
0.32,-69.33
0.32,-51.15
0.32,-30.45
0.32,-6.83
0.32,19.90
0.32,49.58
0.33,81.70
0.33,115.48
0.33,150.02
0.33,184.58
0.33,218.65
0.33,252.18
0.33,285.45
0.33,318.92
0.33,352.83
0.33,386.94
0.34,420.25
0.34,451.04
0.34,477.18
0.34,496.51
0.34,507.27
0.34,508.34
0.34,499.28
0.34,480.17
0.34,451.54
0.34,414.22
0.34,369.50
0.35,319.23
0.35,265.87
0.35,212.36
0.35,161.70
0.35,116.39
0.35,78.02
0.35,46.99
0.35,22.60
0.35,3.42
0.35,-12.23
0.36,-25.86
0.36,-38.48
0.36,-50.59
0.36,-62.21
0.36,-73.15
0.36,-83.13
0.36,-91.94
0.36,-99.41
0.36,-105.44
0.36,-109.98
0.37,-113.03
0.37,-114.66
0.37,-115.06
0.37,-114.51
0.37,-113.34
0.37,-111.89
0.37,-110.43
0.37,-109.14
0.37,-108.07
0.38,-107.18
0.38,-106.39
0.38,-105.63
0.38,-104.84
0.38,-104.06
0.38,-103.32
0.38,-102.67
0.38,-102.17
0.38,-101.82
0.38,-101.62
0.39,-101.59
0.39,-101.69
0.39,-101.92
0.39,-102.19
0.39,-102.40
0.39,-102.39
0.39,-101.99
0.39,-101.04
0.39,-99.43
0.39,-97.14
0.40,-94.30
0.40,-91.10
0.40,-87.79
0.40,-84.63
0.40,-81.80
0.40,-79.38
0.40,-77.36
0.40,-75.65
0.40,-74.11
0.40,-72.63
0.41,-71.11
0.41,-69.47
0.41,-67.66
0.41,-65.64
0.41,-63.37
0.41,-60.88
0.41,-58.20
0.41,-55.40
0.41,-52.53
0.41,-49.64
0.41,-46.75
0.42,-43.84
0.42,-40.92
0.42,-38.01
0.42,-35.17
0.42,-32.49
0.42,-30.08
0.42,-28.00
0.42,-26.23
0.42,-24.65
0.42,-23.05
0.43,-21.23
0.43,-18.97
0.43,-16.21
0.43,-12.95
0.43,-9.33
0.43,-5.57
0.43,-1.87
0.43,1.56
0.43,4.61
0.43,7.23
0.44,9.46
0.44,11.37
0.44,13.06
0.44,14.64
0.44,16.19
0.44,17.80
0.44,19.55
0.44,21.53
0.44,23.77
0.45,26.30
0.45,29.09
0.45,32.07
0.45,35.17
0.45,38.28
0.45,41.30
0.45,44.14
0.45,46.74
0.45,49.09
0.45,51.24
0.46,53.31
0.46,55.45
0.46,57.85
0.46,60.67
0.46,64.05
0.46,67.99
0.46,72.46
0.46,77.28
0.46,82.24
0.46,87.11
0.47,91.67
0.47,95.80
0.47,99.48
0.47,102.78
0.47,105.84
0.47,108.78
0.47,111.71
0.47,114.71
0.47,117.81
0.47,121.07
0.47,124.53
0.48,128.23
0.48,132.18
0.48,136.34
0.48,140.59
0.48,144.76
0.48,148.68
0.48,152.19
0.48,155.20
0.48,157.67
0.48,159.61
0.49,161.09
0.49,162.18
0.49,163.00
0.49,163.70
0.49,164.43
0.49,165.29
0.49,166.35
0.49,167.55
0.49,168.77
0.49,169.79
0.50,170.38
0.50,170.37
0.50,169.70
0.50,168.40
0.50,166.57
0.50,164.34
0.50,161.85
0.50,159.17
0.50,156.37
0.51,153.49
0.51,150.55
0.51,147.59
0.51,144.62
0.51,141.63
0.51,138.58
0.51,135.39
0.51,131.99
0.51,128.33
0.51,124.39
0.52,120.23
0.52,115.89
0.52,111.44
0.52,106.92
0.52,102.35
0.52,97.72
0.52,93.04
0.52,88.35
0.52,83.73
0.52,79.27
0.53,75.02
0.53,71.04
0.53,67.29
0.53,63.73
0.53,60.24
0.53,56.74
0.53,53.13
0.53,49.34
0.53,45.31
0.53,40.97
0.54,36.26
0.54,31.14
0.54,25.62
0.54,19.80
0.54,13.90
0.54,8.15
0.54,2.82
0.54,-1.90
0.54,-5.92
0.54,-9.28
0.55,-12.10
0.55,-14.56
0.55,-16.82
0.55,-18.96
0.55,-20.99
0.55,-22.87
0.55,-24.56
0.55,-26.03
0.55,-27.37
0.55,-28.69
0.56,-30.19
0.56,-31.98
0.56,-34.14
0.56,-36.58
0.56,-39.15
0.56,-41.65
0.56,-43.88
0.56,-45.74
0.56,-47.16
0.56,-48.18
0.56,-48.86
0.57,-49.33
0.57,-49.70
0.57,-50.10
0.57,-50.62
0.57,-51.34
0.57,-52.25
0.57,-53.28
0.57,-54.31
0.57,-55.16
0.57,-55.68
0.58,-55.76
0.58,-55.39
0.58,-54.67
0.58,-53.71
0.58,-52.66
0.58,-51.61
0.58,-50.57
0.58,-49.55
0.58,-48.58
0.58,-47.74
0.59,-47.14
0.59,-46.92
0.59,-47.15
0.59,-47.83
0.59,-48.82
0.59,-49.92
0.59,-50.90
0.59,-51.58
0.59,-51.90
0.59,-51.87
0.60,-51.57
0.60,-51.10
0.60,-50.54
0.60,-49.96
0.60,-49.39
0.60,-48.89
0.60,-48.50
0.60,-48.28
0.60,-48.28
0.60,-48.52
0.61,-48.98
0.61,-49.57
0.61,-50.18
0.61,-50.66
0.61,-50.85
0.61,-50.63
0.61,-49.91
0.61,-48.63
0.61,-46.77
0.61,-44.37
0.62,-41.51
0.62,-38.36
0.62,-35.10
0.62,-31.92
0.62,-28.98
0.62,-26.38
0.62,-24.17
0.62,-22.31
0.62,-20.74
0.62,-19.34
0.63,-18.02
0.63,-16.69
0.63,-15.32
0.63,-13.94
0.63,-12.62
0.63,-11.48
0.63,-10.63
0.63,-10.17
0.63,-10.16
0.64,-10.59
0.64,-11.38
0.64,-12.37
0.64,-13.35
0.64,-14.05
0.64,-14.23
0.64,-13.66
0.64,-12.20
0.64,-9.85
0.64,-6.69
0.65,-2.91
0.65,1.26
0.65,5.59
0.65,9.90
0.65,14.01
0.65,17.80
0.65,21.16
0.65,24.01
0.65,26.32
0.65,28.09
0.66,29.39
0.66,30.31
0.66,30.94
0.66,31.40
0.66,31.73
0.66,31.92
0.66,31.92
0.66,31.59
0.66,30.82
0.66,29.58
0.67,27.92
0.67,26.02
0.67,24.14
0.67,22.56
0.67,21.47
0.67,20.94
0.67,20.87
0.67,21.04
0.67,21.16
0.67,20.92
0.68,20.08
0.68,18.50
0.68,16.20
0.68,13.30
0.68,10.03
0.68,6.64
0.68,3.35
