tiempo,variable_filtrada
0.00,-9.30
0.00,-9.98
0.00,-10.35
0.00,-10.16
0.00,-9.28
0.01,-7.73
0.01,-5.70
0.01,-3.50
0.01,-1.50
0.01,-0.03
0.01,0.68
0.01,0.61
0.01,-0.10
0.01,-1.22
0.01,-2.44
0.01,-3.57
0.02,-4.50
0.02,-5.25
0.02,-5.87
0.02,-6.40
0.02,-6.85
0.02,-7.16
0.02,-7.28
0.02,-7.17
0.02,-6.85
0.03,-6.34
0.03,-5.73
0.03,-5.10
0.03,-4.54
0.03,-4.19
0.03,-4.13
0.03,-4.44
0.03,-5.09
0.03,-5.97
0.03,-6.94
0.04,-7.79
0.04,-8.34
0.04,-8.45
0.04,-8.06
0.04,-7.19
0.04,-5.92
0.04,-4.41
0.04,-2.86
0.04,-1.44
0.04,-0.31
0.04,0.46
0.05,0.82
0.05,0.82
0.05,0.48
0.05,-0.16
0.05,-1.10
0.05,-2.29
0.05,-3.64
0.05,-4.94
0.05,-5.90
0.06,-6.24
0.06,-5.81
0.06,-4.67
0.06,-3.13
0.06,-1.67
0.06,-0.83
0.06,-1.01
0.06,-2.38
0.06,-4.82
0.06,-7.96
0.07,-11.33
0.07,-14.49
0.07,-17.16
0.07,-19.26
0.07,-20.84
0.07,-22.00
0.07,-22.81
0.07,-23.24
0.07,-23.22
0.07,-22.74
0.07,-21.83
0.08,-20.65
0.08,-19.43
0.08,-18.40
0.08,-17.75
0.08,-17.56
0.08,-17.77
0.08,-18.26
0.08,-18.82
0.08,-19.26
0.09,-19.41
0.09,-19.15
0.09,-18.38
0.09,-17.08
0.09,-15.30
0.09,-13.18
0.09,-10.92
0.09,-8.72
0.09,-6.76
0.09,-5.09
0.10,-3.70
0.10,-2.48
0.10,-1.29
0.10,-0.03
0.10,1.37
0.10,2.88
0.10,4.43
0.10,5.94
0.10,7.37
0.10,8.69
0.10,9.91
0.11,11.00
0.11,11.85
0.11,12.37
0.11,12.45
0.11,12.08
0.11,11.41
0.11,10.74
0.11,10.44
0.11,10.88
0.12,12.37
0.12,15.04
0.12,18.81
0.12,23.43
0.12,28.44
0.12,33.34
0.12,37.63
0.12,40.94
0.12,43.07
0.12,44.09
0.12,44.22
0.13,43.88
0.13,43.52
0.13,43.56
0.13,44.24
0.13,45.62
0.13,47.50
0.13,49.53
0.13,51.27
0.13,52.33
0.14,52.51
0.14,51.88
0.14,50.76
0.14,49.61
0.14,48.83
0.14,48.63
0.14,48.87
0.14,49.08
0.14,48.69
0.14,47.14
0.14,44.12
0.15,39.70
0.15,34.31
0.15,28.60
0.15,23.23
0.15,18.64
0.15,14.98
0.15,12.10
0.15,9.66
0.15,7.36
0.15,5.07
0.16,2.90
0.16,1.09
0.16,-0.11
0.16,-0.58
0.16,-0.48
0.16,-0.18
0.16,-0.17
0.16,-0.89
0.16,-2.58
0.17,-5.24
0.17,-8.69
0.17,-12.66
0.17,-16.89
0.17,-21.19
0.17,-25.43
0.17,-29.52
0.17,-33.36
0.17,-36.88
0.17,-40.07
0.17,-43.02
0.18,-45.90
0.18,-48.93
0.18,-52.23
0.18,-55.76
0.18,-59.26
0.18,-62.33
0.18,-64.59
0.18,-65.80
0.18,-66.03
0.18,-65.63
0.19,-65.10
0.19,-64.91
0.19,-65.34
0.19,-66.36
0.19,-67.76
0.19,-69.18
0.19,-70.30
0.19,-70.96
0.19,-71.13
0.20,-70.88
0.20,-70.37
0.20,-69.73
0.20,-69.05
0.20,-68.38
0.20,-67.72
0.20,-67.00
0.20,-66.09
0.20,-64.86
0.20,-63.17
0.20,-61.01
0.21,-58.54
0.21,-56.08
0.21,-54.05
0.21,-52.83
0.21,-52.67
0.21,-53.57
0.21,-55.28
0.21,-57.34
0.21,-59.26
0.21,-60.63
0.22,-61.29
0.22,-61.37
0.22,-61.24
0.22,-61.40
0.22,-62.37
0.22,-64.49
0.22,-67.88
0.22,-72.39
0.22,-77.67
0.23,-83.25
0.23,-88.68
0.23,-93.63
0.23,-97.96
0.23,-101.69
0.23,-104.91
0.23,-107.73
0.23,-110.11
0.23,-111.88
0.23,-112.71
0.23,-112.22
0.24,-110.03
0.24,-105.87
0.24,-99.69
0.24,-91.72
0.24,-82.42
0.24,-72.42
0.24,-62.29
0.24,-52.34
0.24,-42.45
0.24,-31.99
0.25,-19.99
0.25,-5.34
0.25,12.81
0.25,34.82
0.25,60.34
0.25,88.44
0.25,117.80
0.25,147.17
0.25,175.78
0.26,203.62
0.26,231.41
0.26,260.39
0.26,291.70
0.26,325.87
0.26,362.32
0.26,399.28
0.26,434.04
0.26,463.50
0.26,484.87
0.27,496.17
0.27,496.46
0.27,485.84
0.27,465.13
0.27,435.78
0.27,399.67
0.27,359.09
0.27,316.68
0.27,275.16
0.27,236.98
0.28,203.92
0.28,176.68
0.28,154.92
0.28,137.37
0.28,122.30
0.28,107.99
0.28,93.12
0.28,77.04
0.28,59.76
0.28,41.81
0.28,24.05
0.29,7.35
0.29,-7.58
0.29,-20.33
0.29,-30.83
0.29,-39.32
0.29,-46.23
0.29,-52.10
0.29,-57.40
0.29,-62.49
0.29,-67.57
0.30,-72.68
0.30,-77.74
0.30,-82.67
0.30,-87.37
0.30,-91.84
0.30,-96.09
0.30,-100.11
0.30,-103.82
0.30,-107.03
0.30,-109.53
0.31,-111.15
0.31,-111.88
0.31,-111.93
0.31,-111.65
0.31,-111.49
0.31,-111.79
0.31,-112.73
0.31,-114.22
0.31,-116.03
0.32,-117.80
0.32,-119.22
0.32,-120.08
0.32,-120.34
0.32,-120.09
0.32,-119.52
0.32,-118.81
0.32,-118.11
0.32,-117.46
0.32,-116.83
0.33,-116.12
0.33,-115.22
0.33,-114.03
0.33,-112.46
0.33,-110.51
0.33,-108.20
0.33,-105.63
0.33,-102.96
0.33,-100.35
0.33,-97.93
0.34,-95.80
0.34,-93.94
0.34,-92.28
0.34,-90.69
0.34,-89.03
0.34,-87.20
0.34,-85.19
0.34,-83.07
0.34,-80.97
0.34,-79.06
0.34,-77.49
0.35,-76.29
0.35,-75.39
0.35,-74.53
0.35,-73.40
0.35,-71.71
0.35,-69.29
0.35,-66.21
0.35,-62.71
0.35,-59.17
0.35,-55.98
0.36,-53.46
0.36,-51.77
0.36,-50.90
0.36,-50.71
0.36,-50.96
0.36,-51.36
0.36,-51.62
0.36,-51.44
0.36,-50.62
0.36,-49.07
0.37,-46.86
0.37,-44.21
0.37,-41.50
0.37,-39.09
0.37,-37.32
0.37,-36.33
0.37,-36.12
0.37,-36.52
0.37,-37.24
0.38,-37.97
0.38,-38.43
0.38,-38.45
0.38,-37.94
0.38,-36.90
0.38,-35.39
0.38,-33.45
0.38,-31.10
0.38,-28.37
0.38,-25.35
0.39,-22.15
0.39,-18.94
0.39,-15.88
0.39,-13.08
0.39,-10.55
0.39,-8.27
0.39,-6.17
0.39,-4.18
0.39,-2.31
0.39,-0.58
0.40,0.94
0.40,2.18
0.40,3.14
0.40,3.84
0.40,4.37
0.40,4.86
0.40,5.45
0.40,6.27
0.40,7.40
0.40,8.87
0.41,10.65
0.41,12.67
0.41,14.84
0.41,17.05
0.41,19.23
0.41,21.30
0.41,23.23
0.41,25.06
0.41,26.85
0.41,28.74
0.41,30.83
0.42,33.20
0.42,35.80
0.42,38.48
0.42,41.03
0.42,43.29
0.42,45.23
0.42,46.96
0.42,48.65
0.42,50.46
0.42,52.47
0.43,54.63
0.43,56.79
0.43,58.79
0.43,60.50
0.43,61.86
0.43,62.86
0.43,63.59
0.43,64.11
0.43,64.49
0.43,64.77
0.44,64.98
0.44,65.18
0.44,65.50
0.44,66.09
0.44,67.11
0.44,68.62
0.44,70.55
0.44,72.64
0.44,74.48
0.45,75.63
0.45,75.80
0.45,74.92
0.45,73.21
0.45,71.09
0.45,69.04
0.45,67.44
0.45,66.48
0.45,66.12
0.45,66.18
0.46,66.42
0.46,66.57
0.46,66.41
0.46,65.79
0.46,64.65
0.46,62.98
0.46,60.86
0.46,58.37
0.46,55.64
0.46,52.80
0.47,50.03
0.47,47.46
0.47,45.22
0.47,43.36
0.47,41.89
0.47,40.80
0.47,40.08
0.47,39.73
0.47,39.71
0.47,39.88
0.47,40.02
0.48,39.82
0.48,38.99
0.48,37.35
0.48,34.93
0.48,31.98
0.48,28.90
0.48,26.09
0.48,23.87
0.48,22.33
0.48,21.37
0.49,20.68
0.49,19.85
0.49,18.54
0.49,16.49
0.49,13.65
0.49,10.17
0.49,6.31
0.49,2.42
0.49,-1.17
0.49,-4.23
0.50,-6.60
0.50,-8.28
0.50,-9.33
0.50,-9.90
0.50,-10.13
0.50,-10.11
0.50,-9.87
0.50,-9.37
0.50,-8.53
0.51,-7.34
0.51,-5.90
0.51,-4.41
0.51,-3.23
0.51,-2.69
0.51,-3.06
0.51,-4.43
0.51,-6.63
0.51,-9.30
0.51,-11.94
0.52,-14.08
0.52,-15.37
0.52,-15.66
0.52,-15.02
0.52,-13.67
0.52,-11.93
0.52,-10.13
0.52,-8.56
0.52,-7.40
0.52,-6.75
0.53,-6.59
0.53,-6.78
0.53,-7.10
0.53,-7.31
0.53,-7.21
0.53,-6.70
0.53,-5.79
0.53,-4.61
0.53,-3.36
0.53,-2.26
0.54,-1.43
0.54,-0.97
0.54,-0.85
0.54,-1.04
0.54,-1.45
0.54,-2.01
0.54,-2.62
0.54,-3.24
0.54,-3.84
0.54,-4.49
0.55,-5.27
0.55,-6.33
0.55,-7.77
0.55,-9.64
0.55,-11.89
0.55,-14.36
0.55,-16.78
0.55,-18.83
0.55,-20.18
0.55,-20.62
0.56,-20.06
0.56,-18.59
0.56,-16.46
0.56,-14.06
0.56,-11.80
0.56,-10.04
0.56,-9.07
0.56,-8.98
0.56,-9.67
0.56,-10.88
0.56,-12.25
0.57,-13.44
0.57,-14.22
0.57,-14.53
0.57,-14.52
0.57,-14.42
0.57,-14.45
0.57,-14.73
0.57,-15.23
0.57,-15.78
0.57,-16.20
0.58,-16.31
0.58,-16.04
0.58,-15.39
0.58,-14.49
0.58,-13.52
0.58,-12.67
0.58,-12.12
0.58,-12.00
0.58,-12.35
0.58,-13.13
0.59,-14.18
0.59,-15.28
0.59,-16.19
0.59,-16.69
0.59,-16.64
0.59,-16.01
0.59,-14.85
0.59,-13.29
0.59,-11.48
0.59,-9.54
0.60,-7.56
0.60,-5.57
0.60,-3.62
0.60,-1.74
0.60,-0.01
0.60,1.43
0.60,2.49
0.60,3.12
0.60,3.42
0.60,3.63
0.61,4.07
0.61,5.04
0.61,6.72
0.61,9.08
0.61,11.87
0.61,14.62
0.61,16.80
0.61,17.97
0.61,17.89
0.61,16.69
0.62,14.79
0.62,12.84
0.62,11.52
0.62,11.33
0.62,12.56
0.62,15.23
0.62,19.15
0.62,23.97
0.62,29.21
0.62,34.36
0.63,38.93
0.63,42.52
0.63,44.92
0.63,46.14
0.63,46.35
0.63,45.86
0.63,45.00
0.63,44.08
0.63,43.31
0.64,42.77
0.64,42.43
0.64,42.20
0.64,42.00
0.64,41.79
0.64,41.58
0.64,41.39
0.64,41.23
0.64,41.02
0.64,40.65
0.65,39.99
0.65,38.94
0.65,37.51
0.65,35.77
0.65,33.86
0.65,31.88
0.65,29.86
0.65,27.77
0.65,25.56
0.65,23.24
0.66,20.91
0.66,18.79
0.66,17.11
0.66,16.10
0.66,15.85
0.66,16.33
0.66,17.35
0.66,18.60
0.66,19.75
0.66,20.48
0.67,20.50
0.67,19.59
0.67,17.60
0.67,14.50
0.67,10.34
0.67,5.30
0.67,-0.34
0.67,-6.25
0.67,-12.10
0.67,-17.60
0.68,-22.58
0.68,-26.97
0.68,-30.81
0.68,-34.17
0.68,-37.15
