tiempo,variable_filtrada
0.37,-6.36
0.38,-5.43
0.38,-4.72
0.38,-4.21
0.38,-3.85
0.38,-3.61
0.38,-3.39
0.38,-3.09
0.38,-2.58
0.38,-1.74
0.38,-0.50
0.39,1.15
0.39,3.16
0.39,5.40
0.39,7.73
0.39,10.04
0.39,12.26
0.39,14.37
0.39,16.39
0.39,18.34
0.39,20.21
0.40,21.99
0.40,23.62
0.40,25.11
0.40,26.48
0.40,27.81
0.40,29.19
0.40,30.73
0.40,32.48
0.40,34.42
0.40,36.54
0.41,38.78
0.41,41.12
0.41,43.59
0.41,46.18
0.41,48.91
0.41,51.73
0.41,54.55
0.41,57.28
0.41,59.84
0.41,62.20
0.41,64.37
0.42,66.40
0.42,68.40
0.42,70.42
0.42,72.52
0.42,74.71
0.42,77.00
0.42,79.39
0.42,81.89
0.42,84.53
0.42,87.32
0.43,90.25
0.43,93.24
0.43,96.21
0.43,99.02
0.43,101.57
0.43,103.81
0.43,105.78
0.43,107.57
0.43,109.32
0.43,111.18
0.44,113.21
0.44,115.42
0.44,117.77
0.44,120.18
0.44,122.55
0.44,124.82
0.44,126.95
0.44,128.88
0.44,130.56
0.45,131.97
0.45,133.05
0.45,133.80
0.45,134.27
0.45,134.55
0.45,134.77
0.45,135.04
0.45,135.46
0.45,136.06
0.45,136.82
0.46,137.69
0.46,138.60
0.46,139.50
0.46,140.35
0.46,141.06
0.46,141.55
0.46,141.70
0.46,141.43
0.46,140.68
0.46,139.50
0.47,137.95
0.47,136.15
0.47,134.16
0.47,132.00
0.47,129.60
0.47,126.87
0.47,123.73
0.47,120.18
0.47,116.30
0.47,112.21
0.47,108.06
0.48,103.96
0.48,99.93
0.48,95.95
0.48,91.93
0.48,87.76
0.48,83.37
0.48,78.69
0.48,73.68
0.48,68.34
0.48,62.64
0.49,56.52
0.49,49.98
0.49,43.00
0.49,35.65
0.49,28.03
0.49,20.30
0.49,12.60
0.49,5.03
0.49,-2.36
0.49,-9.62
0.50,-16.87
0.50,-24.20
0.50,-31.68
0.50,-39.28
0.50,-46.92
0.50,-54.46
0.50,-61.81
0.50,-68.90
0.50,-75.77
0.51,-82.46
0.51,-89.01
0.51,-95.40
0.51,-101.54
0.51,-107.31
0.51,-112.60
0.51,-117.37
0.51,-121.66
0.51,-125.58
0.51,-129.23
0.52,-132.68
0.52,-135.94
0.52,-138.98
0.52,-141.82
0.52,-144.46
0.52,-146.98
0.52,-149.44
0.52,-151.90
0.52,-154.33
0.52,-156.66
0.53,-158.79
0.53,-160.64
0.53,-162.18
0.53,-163.42
0.53,-164.43
0.53,-165.32
0.53,-166.15
0.53,-166.91
0.53,-167.55
0.53,-167.98
0.54,-168.13
0.54,-167.97
0.54,-167.57
0.54,-166.99
0.54,-166.34
0.54,-165.66
0.54,-164.98
0.54,-164.29
0.54,-163.58
0.54,-162.85
0.55,-162.12
0.55,-161.35
0.55,-160.51
0.55,-159.52
0.55,-158.28
0.55,-156.77
0.55,-155.00
0.55,-153.09
0.55,-151.18
0.55,-149.44
0.56,-147.96
0.56,-146.74
0.56,-145.73
0.56,-144.79
0.56,-143.81
0.56,-142.75
0.56,-141.63
0.56,-140.50
0.56,-139.44
0.56,-138.44
0.56,-137.42
0.57,-136.22
0.57,-134.64
0.57,-132.58
0.57,-130.05
0.57,-127.21
0.57,-124.36
0.57,-121.81
0.57,-119.80
0.57,-118.44
0.57,-117.66
0.58,-117.31
0.58,-117.14
0.58,-116.96
0.58,-116.67
0.58,-116.24
0.58,-115.73
0.58,-115.19
0.58,-114.62
0.58,-114.02
0.58,-113.34
0.59,-112.56
0.59,-111.68
0.59,-110.68
0.59,-109.53
0.59,-108.14
0.59,-106.44
0.59,-104.37
0.59,-101.97
0.59,-99.40
0.59,-96.90
0.60,-94.73
0.60,-93.04
0.60,-91.87
0.60,-91.08
0.60,-90.44
0.60,-89.72
0.60,-88.78
0.60,-87.59
0.60,-86.25
0.60,-84.87
0.61,-83.56
0.61,-82.33
0.61,-81.10
0.61,-79.79
0.61,-78.30
0.61,-76.65
0.61,-74.91
0.61,-73.23
0.61,-71.75
0.61,-70.58
0.62,-69.70
0.62,-69.05
0.62,-68.51
0.62,-67.95
0.62,-67.30
0.62,-66.49
0.62,-65.52
0.62,-64.40
0.62,-63.15
0.62,-61.82
0.63,-60.46
0.63,-59.10
0.63,-57.79
0.63,-56.58
0.63,-55.48
0.63,-54.47
0.63,-53.47
0.63,-52.37
0.63,-51.09
0.64,-49.57
0.64,-47.86
0.64,-46.07
0.64,-44.35
0.64,-42.84
0.64,-41.62
0.64,-40.66
0.64,-39.90
0.64,-39.22
0.64,-38.57
0.65,-37.92
0.65,-37.30
0.65,-36.73
0.65,-36.22
0.65,-35.69
0.65,-35.04
0.65,-34.18
0.65,-33.04
0.65,-31.67
0.65,-30.18
0.66,-28.72
0.66,-27.43
0.66,-26.38
0.66,-25.57
0.66,-24.95
0.66,-24.47
0.66,-24.10
0.66,-23.87
0.66,-23.80
0.66,-23.91
0.67,-24.18
0.67,-24.53
0.67,-24.82
0.67,-24.94
0.67,-24.83
0.67,-24.50
0.67,-23.98
0.67,-23.36
0.67,-22.66
0.67,-21.91
0.68,-21.10
0.68,-20.22
0.68,-19.27
0.68,-18.28
0.68,-17.29
0.68,-16.35
0.68,-15.48
0.68,-14.70
0.68,-14.03
0.68,-13.44
