tiempo,variable_filtrada
0.37,-30.52
0.37,-38.20
0.37,-45.55
0.37,-52.23
0.37,-58.21
0.37,-63.65
0.38,-68.87
0.38,-74.10
0.38,-79.40
0.38,-84.51
0.38,-88.92
0.38,-91.98
0.38,-93.13
0.38,-92.09
0.38,-88.95
0.38,-84.15
0.39,-78.36
0.39,-72.33
0.39,-66.74
0.39,-62.11
0.39,-58.76
0.39,-56.77
0.39,-56.04
0.39,-56.25
0.39,-56.94
0.39,-57.55
0.40,-57.50
0.40,-56.30
0.40,-53.61
0.40,-49.34
0.40,-43.75
0.40,-37.41
0.40,-31.21
0.40,-26.18
0.40,-23.32
0.40,-23.23
0.41,-25.96
0.41,-30.80
0.41,-36.47
0.41,-41.46
0.41,-44.48
0.41,-44.88
0.41,-42.89
0.41,-39.46
0.41,-35.91
0.41,-33.44
0.41,-32.72
0.42,-33.71
0.42,-35.73
0.42,-37.80
0.42,-38.95
0.42,-38.50
0.42,-36.26
0.42,-32.50
0.42,-27.86
0.42,-23.16
0.42,-19.29
0.43,-17.03
0.43,-16.92
0.43,-19.22
0.43,-23.82
0.43,-30.29
0.43,-37.89
0.43,-45.71
0.43,-52.85
0.43,-58.60
0.43,-62.54
0.44,-64.61
0.44,-65.02
0.44,-64.16
0.44,-62.41
0.44,-60.08
0.44,-57.24
0.44,-53.77
0.44,-49.39
0.44,-43.80
0.45,-36.82
0.45,-28.54
0.45,-19.35
0.45,-9.92
0.45,-1.13
0.45,6.12
0.45,11.07
0.45,13.24
0.45,12.51
0.45,9.06
0.46,3.37
0.46,-3.97
0.46,-12.28
0.46,-20.88
0.46,-29.14
0.46,-36.53
0.46,-42.66
0.46,-47.34
0.46,-50.57
0.46,-52.48
0.47,-53.31
0.47,-53.37
0.47,-53.02
0.47,-52.63
0.47,-52.54
0.47,-52.92
0.47,-53.76
0.47,-54.78
0.47,-55.56
0.47,-55.67
0.47,-54.78
0.48,-52.91
0.48,-50.36
0.48,-47.61
0.48,-45.16
0.48,-43.30
0.48,-41.99
0.48,-40.92
0.48,-39.62
0.48,-37.58
0.48,-34.34
0.49,-29.61
0.49,-23.24
0.49,-15.26
0.49,-5.89
0.49,4.49
0.49,15.46
0.49,26.60
0.49,37.64
0.49,48.51
0.49,59.36
0.50,70.47
0.50,82.19
0.50,94.79
0.50,108.31
0.50,122.41
0.50,136.40
0.50,149.25
0.50,159.78
0.50,166.87
0.51,169.74
0.51,168.08
0.51,162.18
0.51,152.82
0.51,141.15
0.51,128.41
0.51,115.65
0.51,103.49
0.51,92.05
0.51,80.97
0.52,69.53
0.52,56.95
0.52,42.57
0.52,26.11
0.52,7.77
0.52,-11.79
0.52,-31.50
0.52,-50.10
0.52,-66.39
0.52,-79.46
0.53,-88.91
0.53,-94.90
0.53,-98.10
0.53,-99.52
0.53,-100.21
0.53,-101.03
0.53,-102.45
0.53,-104.48
0.53,-106.69
0.53,-108.42
0.54,-108.96
0.54,-107.86
0.54,-105.01
0.54,-100.74
0.54,-95.68
0.54,-90.57
0.54,-86.06
0.54,-82.47
0.54,-79.77
0.54,-77.62
0.55,-75.50
0.55,-72.96
0.55,-69.73
0.55,-65.76
0.55,-61.24
0.55,-56.42
0.55,-51.51
0.55,-46.59
0.55,-41.57
0.55,-36.26
0.56,-30.48
0.56,-24.19
0.56,-17.54
0.56,-10.91
0.56,-4.80
0.56,0.31
0.56,4.15
0.56,6.65
0.56,7.99
0.56,8.52
0.56,8.59
0.57,8.51
0.57,8.46
0.57,8.49
0.57,8.60
0.57,8.74
0.57,8.95
0.57,9.28
0.57,9.82
0.57,10.64
0.57,11.77
0.58,13.15
0.58,14.68
0.58,16.24
0.58,17.77
0.58,19.29
0.58,20.90
0.58,22.77
0.58,25.06
0.58,27.84
0.58,31.07
0.59,34.51
0.59,37.86
0.59,40.76
0.59,42.90
0.59,44.09
0.59,44.25
0.59,43.43
0.59,41.80
0.59,39.62
0.59,37.20
0.60,34.95
0.60,33.26
0.60,32.49
0.60,32.80
0.60,34.11
0.60,36.07
0.60,38.16
0.60,39.89
0.60,40.93
0.60,41.30
0.61,41.31
0.61,41.46
0.61,42.26
0.61,43.98
0.61,46.54
0.61,49.48
0.61,52.07
0.61,53.53
0.61,53.24
0.61,50.89
0.62,46.52
0.62,40.55
0.62,33.71
0.62,26.92
0.62,21.20
0.62,17.40
0.62,16.03
0.62,17.12
0.62,20.20
0.62,24.40
0.63,28.73
0.63,32.32
0.63,34.66
0.63,35.76
0.63,36.07
0.63,36.25
0.63,36.97
0.63,38.65
0.63,41.40
0.64,45.02
0.64,49.15
0.64,53.44
0.64,57.60
0.64,61.44
0.64,64.85
0.64,67.72
0.64,69.95
0.64,71.47
0.64,72.25
0.65,72.32
0.65,71.86
0.65,71.15
0.65,70.56
0.65,70.58
0.65,71.71
0.65,74.36
0.65,78.65
0.65,84.26
0.65,90.34
0.66,95.56
0.66,98.45
0.66,97.75
0.66,92.92
0.66,84.29
0.66,73.11
0.66,61.12
0.66,50.02
0.66,41.01
0.66,34.53
0.67,30.31
0.67,27.73
0.67,26.17
0.67,25.36
0.67,25.49
0.67,27.11
0.67,30.86
0.67,37.22
0.67,46.22
0.67,57.34
0.68,69.46
0.68,81.01
0.68,90.23
0.68,95.49
0.68,95.68
0.68,90.39
0.68,79.99
0.68,65.55
0.68,48.57
0.68,30.65
0.69,13.26
0.69,-2.46
0.69,-15.78
0.69,-26.42
0.69,-34.46
0.69,-40.24
0.69,-44.22
0.69,-46.85
0.69,-48.47
0.69,-49.26
0.69,-49.30
0.70,-48.61
0.70,-47.20
0.70,-45.15
0.70,-42.55
0.70,-39.50
0.70,-36.14
0.70,-32.63
0.70,-29.22
0.70,-26.21
0.70,-23.88
0.71,-22.43
0.71,-21.88
0.71,-22.10
0.71,-22.81
0.71,-23.72
0.71,-24.53
0.71,-25.07
0.71,-25.28
0.71,-25.22
0.71,-25.04
0.72,-24.85
0.72,-24.72
0.72,-24.63
0.72,-24.46
0.72,-24.05
0.72,-23.24
0.72,-21.93
0.72,-20.09
0.72,-17.78
0.72,-15.19
0.73,-12.55
0.73,-10.14
0.73,-8.17
0.73,-6.71
0.73,-5.72
0.73,-4.99
0.73,-4.29
0.73,-3.38
0.73,-2.10
0.73,-0.43
0.74,1.52
0.74,3.52
0.74,5.26
0.74,6.47
0.74,6.98
0.74,6.79
0.74,6.03
0.74,4.93
0.74,3.79
0.74,2.85
0.75,2.32
0.75,2.29
0.75,2.76
0.75,3.60
0.75,4.58
0.75,5.38
0.75,5.66
0.75,5.14
0.75,3.68
0.76,1.36
0.76,-1.56
0.76,-4.71
0.76,-7.71
0.76,-10.30
0.76,-12.38
0.76,-14.00
0.76,-15.30
0.76,-16.44
0.76,-17.50
0.77,-18.45
0.77,-19.15
0.77,-19.42
0.77,-19.03
0.77,-17.88
0.77,-15.97
0.77,-13.45
0.77,-10.59
0.77,-7.73
0.77,-5.20
0.78,-3.24
0.78,-1.94
0.78,-1.19
0.78,-0.77
0.78,-0.46
0.78,-0.07
0.78,0.42
0.78,0.96
0.78,1.44
0.78,1.83
0.79,2.17
0.79,2.55
0.79,3.10
0.79,3.90
0.79,4.91
0.79,6.08
0.79,7.27
0.79,8.41
0.79,9.50
0.79,10.56
0.80,11.67
0.80,12.85
0.80,14.08
0.80,15.27
0.80,16.34
0.80,17.22
0.80,17.88
0.80,18.36
0.80,18.64
0.80,18.70
0.81,18.43
0.81,17.64
0.81,16.15
0.81,13.89
0.81,10.94
0.81,7.58
0.81,4.24
0.81,1.34
0.81,-0.79
0.81,-2.05
0.81,-2.55
0.82,-2.56
0.82,-2.44
0.82,-2.46
0.82,-2.78
0.82,-3.35
0.82,-4.00
0.82,-4.51
0.82,-4.72
0.82,-4.61
0.82,-4.28
0.83,-3.91
0.83,-3.63
0.83,-3.52
0.83,-3.54
0.83,-3.64
0.83,-3.82
0.83,-4.18
0.83,-4.88
0.83,-6.11
0.83,-7.99
0.84,-10.45
0.84,-13.27
0.84,-16.04
0.84,-18.28
0.84,-19.56
0.84,-19.65
0.84,-18.53
0.84,-16.46
0.84,-13.92
0.84,-11.43
0.85,-9.50
0.85,-8.50
0.85,-8.60
0.85,-9.76
0.85,-11.81
0.85,-14.50
0.85,-17.53
0.85,-20.63
0.85,-23.55
0.85,-26.11
0.86,-28.16
0.86,-29.57
0.86,-30.25
0.86,-30.13
0.86,-29.18
0.86,-27.45
0.86,-25.15
0.86,-22.61
0.86,-20.27
0.86,-18.54
0.87,-17.60
0.87,-17.33
0.87,-17.28
0.87,-16.82
0.87,-15.27
0.87,-12.15
0.87,-7.31
0.87,-0.97
0.87,6.31
0.88,13.72
0.88,20.32
0.88,25.28
0.88,27.94
0.88,28.05
0.88,25.72
0.88,21.50
0.88,16.20
0.88,10.74
0.88,5.94
0.89,2.34
0.89,0.10
0.89,-0.93
0.89,-1.08
0.89,-0.66
0.89,0.20
0.89,1.62
0.89,3.88
0.89,7.39
0.89,12.50
0.90,19.45
0.90,28.29
0.90,38.87
0.90,50.84
0.90,63.70
0.90,76.81
0.90,89.44
0.90,100.81
0.90,110.15
0.90,116.78
0.91,120.19
0.91,120.16
0.91,116.81
0.91,110.69
0.91,102.62
0.91,93.60
0.91,84.56
0.91,76.21
0.91,68.86
0.91,62.43
0.92,56.51
0.92,50.51
0.92,43.82
0.92,35.99
0.92,26.82
0.92,16.40
0.92,5.04
0.92,-6.77
0.92,-18.49
0.92,-29.61
0.93,-39.74
0.93,-48.66
0.93,-56.31
0.93,-62.74
0.93,-68.00
0.93,-72.07
0.93,-74.80
0.93,-76.01
0.93,-75.59
0.93,-73.61
0.94,-70.41
0.94,-66.56
0.94,-62.75
0.94,-59.56
0.94,-57.35
0.94,-56.13
0.94,-55.60
0.94,-55.27
0.94,-54.63
0.94,-53.26
0.94,-50.95
0.95,-47.65
0.95,-43.55
0.95,-38.93
0.95,-34.13
0.95,-29.45
0.95,-25.04
0.95,-20.95
0.95,-17.07
0.95,-13.22
0.95,-9.26
0.96,-5.12
0.96,-0.88
0.96,3.25
0.96,6.99
0.96,10.07
0.96,12.29
0.96,13.60
0.96,14.13
0.96,14.15
0.96,14.04
0.97,14.14
0.97,14.71
0.97,15.83
0.97,17.41
0.97,19.23
0.97,21.04
0.97,22.67
0.97,23.98
0.97,24.98
0.97,25.71
0.98,26.26
0.98,26.69
0.98,27.07
0.98,27.44
0.98,27.83
0.98,28.26
0.98,28.78
0.98,29.42
0.98,30.18
0.98,31.02
0.99,31.81
0.99,32.42
0.99,32.70
0.99,32.58
0.99,32.08
0.99,31.33
0.99,30.54
0.99,29.91
0.99,29.59
0.99,29.59
1.00,29.82
1.00,30.07
1.00,30.13
1.00,29.83
1.00,29.13
1.00,28.12
1.00,26.96
1.00,25.86
1.00,24.97
1.00,24.42
1.01,24.27
1.01,24.54
1.01,25.25
1.01,26.38
1.01,27.88
1.01,29.66
1.01,31.61
1.01,33.64
1.01,35.69
1.01,37.75
1.02,39.90
1.02,42.21
1.02,44.75
1.02,47.51
1.02,50.37
1.02,53.12
1.02,55.51
1.02,57.37
1.02,58.65
1.02,59.46
1.03,60.03
1.03,60.66
1.03,61.55
1.03,62.79
1.03,64.33
1.03,66.04
1.03,67.75
