0; 484
1; 482
2; 482
3; 482
4; 481
5; 478
6; 475
7; 474
8; 473
9; 470
10; 468
11; 465
12; 465
13; 465
14; 464
15; 464
0; 463
1; 463
2; 462
3; 460
4; 459
5; 456
6; 454
7; 453
8; 450
9; 449
10; 449
11; 448
12; 448
13; 448
14; 449
15; 449
0; 448
1; 447
2; 447
3; 448
4; 448
5; 451
6; 452
7; 451
8; 451
9; 450
10; 449
11; 449
12; 449
13; 451
14; 452
15; 453
0; 455
1; 456
2; 458
3; 458
4; 459
5; 460
6; 459
7; 460
8; 458
9; 459
10; 458
11; 458
12; 459
13; 457
14; 458
15; 459
0; 460
1; 462
2; 463
3; 463
4; 463
5; 461
6; 461
7; 458
8; 454
9; 450
10; 446
11; 446
12; 445
13; 446
14; 447
15; 449
0; 454
1; 457
2; 462
3; 468
4; 475
5; 482
6; 489
7; 497
8; 505
9; 513
10; 522
11; 528
12; 539
13; 547
14; 555
15; 567
0; 578
1; 590
2; 602
3; 611
4; 620
5; 623
6; 626
7; 629
8; 626
9; 617
10; 600
11; 582
12; 564
13; 548
14; 537
15; 527
0; 518
1; 508
2; 497
3; 487
4; 472
5; 454
6; 435
7; 418
8; 400
9; 379
10; 361
11; 347
12; 334
13; 324
14; 318
15; 313
0; 312
1; 315
2; 321
3; 329
4; 337
5; 348
6; 359
7; 374
8; 388
9; 403
10; 416
11; 427
12; 440
13; 448
14; 455
15; 464
0; 475
1; 484
2; 491
3; 496
4; 496
5; 495
6; 496
7; 495
8; 491
9; 486
10; 482
11; 476
12; 470
13; 466
14; 465
15; 463
0; 463
1; 462
2; 463
3; 464
4; 466
5; 469
6; 472
7; 474
8; 476
9; 479
10; 486
11; 490
12; 494
13; 496
14; 497
15; 502
0; 505
1; 507
2; 508
3; 508
4; 508
5; 508
6; 506
7; 506
8; 503
9; 503
10; 505
11; 508
12; 509
13; 509
14; 512
15; 513
0; 515
1; 519
2; 522
3; 521
4; 519
5; 519
6; 520
7; 522
8; 520
9; 514
10; 511
11; 511
12; 510
13; 510
